Name,Latitude (°),Longitude (°),Temperature (F),Humidity (%),Wind Speed (mph),Cloudiness (%)
Aklavik,68.22,-135.01,35.6,93,4.7,90
Sistranda,63.73,8.83,53.6,93,11.41,75
Punta Arenas,-53.15,-70.92,42.39,81,12.75,98
Manakara,-22.13,48.02,64.31,89,7.02,0
Albany,42.6,-73.97,41.67,58,3.91,0
Mataura,-46.19,168.86,60.39,45,9.13,62
Upernavik,72.79,-56.15,29.03,88,7.7,89
Busselton,-33.65,115.33,54.25,75,3.0,100
Byron Bay,-28.65,153.62,84.85,61,12.75,0
Sandakan,5.84,118.12,86.0,79,2.24,40
Kungurtug,50.6,97.52,49.78,50,1.03,0
Cherskiy,68.75,161.3,39.61,69,6.53,50
Nikolskoye,59.7,30.79,52.84,81,11.18,75
Binzhou,37.37,118.02,84.0,51,1.01,26
Norman Wells,65.28,-126.83,50.0,66,6.93,75
Avarua,-21.21,-159.78,78.8,83,2.24,100
Barrow,71.29,-156.79,32.0,90,10.29,90
Poum,-20.23,164.02,72.3,66,6.85,4
Hermanus,-34.42,19.23,50.0,91,7.47,99
Swan Hill,-35.34,143.55,60.6,49,17.81,100
Clyde River,70.47,-68.59,19.4,100,3.36,1
Hasaki,35.73,140.83,71.15,77,3.36,75
Sānchor,24.76,71.77,85.03,71,10.09,99
Saint-Philippe,-21.36,55.77,59.09,63,6.93,43
Manado,1.49,124.85,89.6,55,6.93,20
Bluff,-46.6,168.33,53.37,62,7.43,85
Kaitangata,-46.28,169.85,57.99,63,5.99,0
Cadiz,36.5,-5.75,67.12,93,1.12,100
Zhangjiakou,40.81,114.88,64.02,53,3.71,67
Castro,-24.79,-50.01,54.91,89,11.25,94
Cape Town,-33.93,18.42,51.58,76,4.7,40
Stavropol,45.04,41.97,47.19,61,6.71,21
Ulladulla,-35.35,150.47,79.05,37,16.11,20
Alice Springs,-23.7,133.88,75.09,27,8.05,75
Katsuura,35.13,140.3,72.84,78,4.0,100
Kavieng,-2.57,150.8,85.35,73,11.23,90
Oranjemund,-28.55,16.43,55.04,85,13.02,0
San Quintín,30.48,-115.95,72.41,72,11.72,0
Dikson,73.51,80.55,40.69,92,15.39,100
Tessalit,20.2,1.01,87.42,16,8.66,0
Port Alfred,-33.59,26.89,57.54,61,25.48,20
Yellowknife,62.46,-114.35,49.8,76,3.36,20
Faanui,-16.48,-151.75,78.48,79,17.05,0
Mahébourg,-20.41,57.7,69.8,77,12.75,81
Jamestown,42.1,-79.24,48.22,53,10.29,1
Puerto Ayora,-0.74,-90.35,66.07,89,9.42,97
Rikitea,-23.12,-134.97,72.59,76,24.0,99
Kristinestad,62.27,21.38,52.36,69,11.65,99
Itarema,-2.92,-39.92,77.68,82,15.32,9
Port Macquarie,-31.43,152.92,84.97,63,4.0,0
Presidencia Roque Sáenz Peña,-26.79,-60.44,56.68,46,7.38,23
Khovu-Aksy,51.13,93.6,50.07,55,2.91,0
Dongsheng,39.82,109.98,61.43,45,9.1,96
Sitka,57.05,-135.33,51.8,76,11.41,90
Narsaq,60.92,-46.05,33.8,55,6.93,97
Atuona,-9.8,-139.03,78.28,77,19.98,21
Carandaí,-20.95,-43.81,62.31,90,9.44,75
Selenduma,50.91,106.24,52.02,55,2.06,23
Bethel,41.37,-73.41,43.21,86,4.7,1
San Patricio,19.22,-104.7,81.14,78,6.46,88
Carnarvon,-24.87,113.63,64.4,39,23.04,0
Vardø,70.37,31.11,42.75,80,17.25,12
Ilhabela,-23.78,-45.36,69.31,90,8.66,100
Aras,42.56,-2.36,62.6,88,5.82,75
Boralday,43.36,76.86,53.6,62,1.52,0
Bocas del Toro,9.33,-82.25,64.0,99,0.51,100
Rio Grande,-32.03,-52.1,50.34,70,10.74,0
Acarí,-15.43,-74.62,63.77,59,3.58,66
Kapaa,22.08,-159.32,80.91,74,10.29,90
Khatanga,71.97,102.5,44.91,76,8.72,16
Qasigiannguit,68.82,-51.19,28.4,92,2.24,100
Vaini,-21.2,-175.2,77.0,78,11.41,75
Aketi,2.74,23.78,70.88,96,0.4,100
Yulara,-25.24,130.99,68.0,15,8.05,0
Severo-Yeniseyskiy,60.37,93.04,47.14,89,4.18,100
Urucará,-2.54,-57.76,84.02,50,2.19,22
Jaguarari,-10.26,-40.2,67.6,78,8.75,29
Tuktoyaktuk,69.45,-133.04,37.4,86,19.46,90
Leningradskiy,69.38,178.42,35.51,83,13.4,99
Boone,39.03,-92.33,60.4,70,9.93,0
Geraldton,-28.77,114.6,64.4,52,1.12,90
Dingle,11.0,122.67,76.6,94,4.81,100
Hithadhoo,-0.6,73.08,81.36,81,14.52,100
Bathsheba,13.22,-59.52,84.2,79,10.29,20
Bredasdorp,-34.53,20.04,46.4,93,4.7,97
Belaya Gora,68.53,146.42,47.01,55,8.81,0
Ushuaia,-54.8,-68.3,42.8,82,4.7,75
Ajdabiya,30.76,20.23,68.49,77,6.62,0
Matamoros,25.53,-103.25,80.13,37,5.82,75
Hobyo,5.35,48.53,75.74,83,19.39,92
Talnakh,69.49,88.4,46.4,87,24.61,75
Zhovkva,50.06,23.97,55.2,50,6.71,37
Pueblo,38.25,-104.61,73.47,33,4.7,1
Sayyan,15.17,44.32,60.42,34,4.25,100
Hong Kong,22.29,114.16,83.86,84,3.0,72
Vostok,46.49,135.88,57.18,64,3.31,35
Lagoa,39.05,-27.98,66.13,77,17.67,100
Ust-Maya,60.42,134.53,57.22,49,2.06,0
Alofi,-19.06,-169.92,77.0,83,14.99,75
Mandalay,21.97,96.08,78.8,88,11.41,75
Ust'-Kulom,61.69,53.69,33.3,94,8.95,82
Trofors,65.53,13.41,51.4,93,32.21,100
Tuatapere,-46.13,167.68,58.5,53,6.4,96
Saskylakh,71.92,114.08,47.39,74,10.98,94
Ponta do Sol,32.67,-17.1,66.16,73,4.7,40
Hilo,19.73,-155.09,79.83,51,6.93,1
Mar del Plata,-38.0,-57.56,45.05,70,6.93,20
Flinders,-34.58,150.86,79.32,61,7.0,0
Campohermoso,36.94,-2.13,69.91,88,3.36,100
Port Elizabeth,-33.92,25.57,55.4,71,16.11,20
Lebu,-37.62,-73.65,48.9,87,8.75,7
New Norfolk,-42.78,147.06,62.38,44,5.99,66
Maceió,-9.67,-35.74,71.6,100,3.36,20
La Ronge,55.1,-105.28,60.8,77,8.05,90
Hobart,-42.88,147.33,62.83,39,20.8,40
Ilulissat,69.22,-51.1,28.4,92,2.24,100
East London,-33.02,27.91,60.75,55,25.39,100
Kargasok,59.06,80.86,52.74,77,12.95,100
Krasnovishersk,60.41,57.08,35.37,94,8.48,100
Sambava,-14.27,50.17,67.48,87,10.0,2
Aldan,58.6,125.39,55.8,41,1.23,0
Cockburn Town,21.46,-71.14,83.52,68,7.45,92
Sfântu Gheorghe,45.87,25.78,44.33,82,2.89,94
Souillac,-20.52,57.52,69.8,77,12.75,55
Longyearbyen,78.22,15.64,35.6,69,19.46,75
Fukuechō,32.69,128.84,75.2,44,14.99,75
Saint Paul Harbor,57.79,-152.41,53.6,71,11.41,40
São João do Paraíso,-15.31,-42.01,64.99,76,7.74,0
Ban Tak,17.04,99.08,78.8,88,2.24,75
Yar-Sale,66.83,70.83,48.07,92,17.65,100
Kumano,34.34,132.59,74.28,49,6.93,20
Rabaul,-4.2,152.17,85.75,65,7.4,75
Jinka,5.65,36.65,62.04,87,3.6,3
Esperance,-33.87,121.9,53.6,100,14.99,75
Sos'va,59.18,61.86,36.91,92,14.54,100
Guerrero Negro,27.98,-114.06,76.66,66,14.54,0
Escanaba,45.75,-87.06,59.81,63,10.29,1
Salalah,17.02,54.09,80.6,78,4.7,75
Eureka,40.8,-124.16,60.03,93,5.37,90
Grindavik,63.84,-22.43,41.0,65,11.41,40
Qaanaaq,77.48,-69.36,16.18,92,3.67,80
Hamilton,39.18,-84.53,55.18,81,7.58,1
Arraial do Cabo,-22.97,-42.03,70.54,91,2.98,100
Hambantota,6.12,81.12,77.0,100,4.7,75
Zhigansk,66.77,123.37,48.6,58,7.16,0
Esmeraldas,-19.76,-44.31,69.19,88,8.05,40
Cayenne,4.93,-52.33,77.0,100,8.66,0
Romny,50.75,33.47,43.65,79,4.34,0
Labuhan,-6.88,112.21,87.76,53,2.62,18
Takoradze,4.88,-1.76,74.97,93,9.91,100
Belle Fourche,44.67,-103.85,61.18,54,11.41,1
Iqaluit,63.75,-68.51,32.0,94,10.29,75
Olafsvik,64.89,-23.71,43.05,63,16.42,81
Shīeli,44.17,66.75,50.88,65,5.55,0
Saldanha,-33.01,17.94,44.6,87,3.36,57
Pisco,-13.7,-76.22,60.89,87,14.99,29
São Filipe,14.9,-24.5,79.02,79,2.66,100
Makkah al Mukarramah,21.43,39.83,82.98,34,3.29,0
Stornoway,58.21,-6.39,53.76,87,17.22,97
Tasiilaq,65.61,-37.64,27.88,89,5.41,100
Safaga,26.73,33.94,86.0,45,11.41,0
Sur,22.57,59.53,80.1,67,2.66,77
Butaritari,3.07,172.79,81.95,75,14.38,0
Klaksvík,62.23,-6.59,51.8,100,10.29,100
Puerto Escondido,15.85,-97.07,81.72,79,7.56,95
Trelew,-43.25,-65.31,42.24,67,6.6,0
Batagay,67.63,134.63,53.17,55,2.48,0
Erenhot,43.65,111.98,54.79,47,13.09,0
Thompson,55.74,-97.86,64.4,72,2.24,90
Cape Coast,5.11,-1.25,75.33,91,11.5,99
Nakskov,54.84,11.13,55.54,96,2.98,0
Thinadhoo,0.53,72.93,82.13,76,14.29,100
Havelock,34.88,-76.9,62.83,59,19.46,1
Kahului,20.89,-156.47,81.72,52,29.97,40
Novikovo,51.15,37.89,42.64,81,4.54,0
Nemuro,43.32,145.57,66.2,82,3.36,75
Raudeberg,61.99,5.14,57.0,89,36.1,100
Mount Gambier,-37.83,140.77,60.8,55,20.8,40
Kalundborg,55.68,11.09,52.2,100,6.82,90
Faya,18.39,42.45,62.6,27,3.09,18
Vila Velha,-20.33,-40.29,75.09,78,9.17,90
Biltine,14.53,20.92,80.53,64,10.67,86
Pevek,69.7,170.31,36.77,81,9.33,99
Cidreira,-30.18,-50.21,50.65,54,3.67,0
Ambon City,-3.7,128.18,82.15,78,7.76,7
George Town,5.41,100.34,82.02,83,3.36,20
Shingū,33.73,135.98,78.8,47,5.82,20
Khovd,48.01,91.64,51.21,44,0.45,0
Vysokogornyy,50.12,139.15,49.71,69,1.97,90
Neustadt an der Waldnaab,49.71,12.09,44.96,100,4.83,1
Nome,64.5,-165.41,45.23,70,1.66,90
Fuyang,32.9,115.82,64.33,88,3.87,100
Coyhaique,-45.58,-72.07,42.8,70,3.36,91
Bealanana,-14.55,48.73,56.16,87,4.07,88
Nishihara,26.18,127.76,79.83,74,18.34,75
Pindi Gheb,33.24,72.27,69.8,83,8.05,0
Ahipara,-35.17,173.17,59.85,71,6.93,100
Bulawayo,-20.15,28.58,62.15,30,6.64,0
Bad Wildungen,51.12,9.12,47.62,76,4.7,0
Bārmer,25.75,71.38,85.15,64,14.34,100
Khani,41.96,42.96,57.2,93,4.7,2
Oktyabr'skiy,54.48,53.47,41.9,86,11.74,100
Moose Factory,51.26,-80.61,55.4,76,9.17,1
Seoul,37.57,126.98,70.88,46,2.89,1
Tautira,-17.73,-149.15,86.0,58,6.93,40
Haines Junction,60.75,-137.51,47.48,54,1.97,100
Birao,10.28,22.79,72.59,88,6.35,98
Parambu,-6.21,-40.69,75.49,42,5.55,12
Waipawa,-41.41,175.52,56.34,82,20.8,10
Wuwei,37.93,102.64,62.17,61,6.46,100
Manzhouli,49.6,117.43,50.88,76,8.99,99
Soyo,-6.13,12.37,72.59,84,8.7,100
Turukhansk,65.82,87.98,49.55,89,15.5,100
Sola,-13.88,167.55,79.25,81,18.84,90
Vorchdorf,48.0,13.92,49.12,92,0.43,1
Nautla,20.22,-96.78,77.49,73,6.33,12
Bambous Virieux,-20.34,57.76,70.84,77,12.75,90
Hikari,33.95,131.95,73.4,49,9.17,20
Chabahar,25.29,60.64,50.0,44,6.78,0
Ribeira Grande,38.52,-28.7,66.96,78,21.54,50
Grand Gaube,-20.01,57.66,72.0,71,5.01,99
Lorengau,-2.02,147.27,86.09,68,9.53,100
Antofagasta,-23.65,-70.4,59.0,77,11.41,75
Jalu,29.03,21.55,70.68,58,8.68,0
Cody,44.53,-109.06,61.97,31,6.93,1
Bubaque,11.28,-15.83,80.38,80,6.31,100
Voyvozh,62.89,54.96,32.76,96,9.06,91
Tiksi,71.69,128.87,47.23,64,16.84,48
Pulaski,34.77,-92.3,68.22,73,9.17,1
Ichinoseki,38.92,141.13,71.6,73,2.24,75
Chokurdakh,70.63,147.92,46.69,64,12.57,0
San Vicente,-26.62,-54.13,52.36,73,6.76,83
Acapulco de Juárez,16.86,-99.89,82.4,83,2.24,40
Wenling,28.37,121.36,80.01,74,6.53,100
Chifeng,42.27,118.96,66.96,48,8.59,76
Aksu,41.12,80.26,60.15,52,0.67,0
Arroyo de la Encomienda,41.61,-4.8,55.6,100,5.82,18
Savannah Bight,16.45,-85.85,84.4,73,12.03,0
Fairbanks,64.84,-147.72,48.02,61,1.7,90
Lawrenceburg,38.04,-84.9,56.28,59,6.93,1
Bahía de Caráquez,-0.6,-80.42,71.6,83,11.41,40
Salinópolis,-0.61,-47.36,80.2,78,13.06,16
Manokwari,-0.87,134.08,83.66,71,8.77,76
Vila Franca do Campo,37.72,-25.43,68.0,77,16.11,75
Uyuni,-20.46,-66.83,43.9,46,14.18,0
Mareeba,-17.0,145.43,84.69,50,8.99,0
Glenwood Springs,39.55,-107.32,64.56,18,3.36,1
Makakilo City,21.35,-158.09,84.29,48,9.17,40
Sakaraha,-22.9,44.53,64.74,51,4.81,0
Solnechnyy,50.72,136.63,56.79,50,5.32,0
Qaqortoq,60.72,-46.03,33.8,55,6.93,92
San Lazaro,18.04,-88.66,76.55,92,4.29,92
Çorum Province,40.5,34.75,49.71,94,4.07,100
Darnah,32.77,22.64,73.51,75,17.74,10
Neyshabur,36.21,58.8,57.78,55,1.9,0
Kautokeino,69.01,23.04,34.59,89,15.5,74
Portland,45.52,-122.68,66.85,67,2.37,100
Egvekinot,66.32,-179.17,38.37,75,9.69,58
Berlevåg,70.86,29.09,43.74,80,19.01,76
Wawa,9.9,4.42,72.46,89,1.68,92
Kiryat Gat,31.61,34.76,74.05,76,4.36,0
Ambilobe,-13.2,49.05,64.85,83,3.6,0
Katete,-0.78,29.75,61.16,95,2.39,42
Am Timan,11.03,20.28,70.52,96,3.62,26
Sarkand,45.41,79.92,62.83,29,5.61,5
Mmabatho,-25.85,25.63,57.2,30,9.17,19
Ol'ga,43.74,135.29,67.32,59,0.58,1
Shenkursk,62.11,42.9,40.89,95,8.05,100
Mayo,38.89,-76.51,56.95,51,10.29,1
Nanortalik,60.14,-45.24,37.58,84,4.59,88
San Ramon,37.78,-121.98,77.67,30,10.29,1
Athens,37.98,23.72,66.24,60,5.82,20
Marabu,4.41,114.01,84.11,79,8.05,20
Malgrat de Mar,41.65,2.74,65.53,99,5.01,17
Constitución,-35.33,-72.42,52.99,74,1.54,0
Kennewick,46.21,-119.14,69.87,35,5.44,1
Hammerfest,70.66,23.68,42.8,81,17.22,75
Chimoio,-19.12,33.48,64.18,93,1.72,3
Sørland,67.67,12.69,49.68,95,30.2,100
Kpandu,7.0,0.29,72.25,92,2.98,93
Pangnirtung,66.15,-65.71,31.73,89,0.63,100
Bayir,37.27,28.22,66.2,82,4.7,0
High Level,58.52,-117.14,53.6,62,4.14,75
Sakaiminato,35.55,133.23,75.54,57,10.29,40
Boa Vista,2.82,-60.67,84.2,66,3.36,1
Colorado Springs,38.83,-104.82,68.25,28,9.17,20
Bontang,0.13,117.5,84.09,75,1.39,10
Mossamedes,-15.2,12.15,63.36,82,4.99,100
Bangkalan,-7.05,112.74,87.35,56,1.25,6
Goryachegorsk,55.41,88.92,52.84,75,3.18,3
Elk Point,42.68,-96.68,70.68,49,10.0,47
Atambua,-9.11,124.89,86.47,54,2.62,6
Dunedin,-45.87,170.5,52.0,83,15.99,0
Batemans Bay,-35.72,150.18,84.0,37,3.0,0
Lata,40.16,-8.33,61.61,89,1.7,99
Lavrentiya,65.58,-171.0,39.56,73,14.79,94
Elizabeth City,36.29,-76.25,59.14,55,18.34,1
Westport,41.14,-73.36,47.32,50,5.82,1
Izazi,-7.2,35.73,64.09,73,1.68,0
Buraidah,26.33,43.98,75.2,33,6.93,0
Vao,-22.67,167.48,69.62,78,16.44,24
Alekseyevsk,57.84,108.35,44.96,86,1.88,99
Matara,5.95,80.54,78.91,85,11.05,82
Mahajanga,-15.72,46.32,69.8,68,6.93,20
Chui,-33.7,-53.46,43.86,75,7.83,0
Pawai,24.27,80.17,82.18,78,3.11,0
Lincoln,40.8,-96.67,65.98,64,1.99,0
Tulun,54.56,100.58,48.88,91,1.48,100
Nísia Floresta,-6.09,-35.21,77.0,83,11.41,40
Tual,-5.67,132.75,80.47,83,12.93,4
Frontera,26.93,-101.45,75.99,55,1.01,0
Roald,62.58,6.13,58.15,72,28.86,100
Edd,13.93,41.69,86.9,58,3.96,58
Severo-Kuril'sk,50.68,156.12,51.49,66,6.6,100
Praia da Vitória,38.73,-27.07,65.68,82,14.65,75
Sovetskiy,61.36,63.58,38.21,94,10.65,100
Rome,43.21,-75.46,42.96,75,3.44,1
Coahuayana Viejo,18.73,-103.68,79.99,81,3.53,98
Rongai,-0.17,35.86,58.17,79,2.62,33
Margate,51.38,1.39,59.23,72,8.41,0
Tarakan,3.3,117.63,81.52,75,4.65,5
Primorsko-Akhtarsk,46.05,38.17,56.93,51,12.77,5
Iquitos,-3.75,-73.25,74.64,95,2.46,93
Cabo San Lucas,22.89,-109.91,84.07,74,8.05,20
Deputatsky,69.3,139.9,47.55,59,1.23,0
Labytnangi,66.66,66.42,40.77,91,10.16,100
Thunder Bay,48.4,-89.32,58.14,59,9.17,40
Gōtsuchō,35.0,132.22,73.4,60,6.93,20
Daru,-9.08,143.21,81.97,74,13.69,100
Ostrovnoy,68.05,39.51,40.39,91,7.58,100
Airai,-8.93,125.41,76.24,60,6.22,1
Kavaratti,10.57,72.64,81.36,79,26.31,100
Ngunguru,-35.62,174.5,62.01,68,3.0,0
Valday,57.97,33.25,44.87,85,11.65,100
Ayan,56.45,138.17,52.92,77,4.12,89
Tommot,58.96,126.29,58.08,47,1.79,0
Sungai Raya,0.7,108.9,76.75,91,3.71,100
Mehamn,71.04,27.85,42.82,82,16.2,82
Yangi Marg`ilon,40.43,71.72,51.8,57,6.93,0
Letpadan,17.78,95.75,80.83,90,11.01,98
Vetluga,57.86,45.78,39.52,93,7.9,100
Medvezh'yegorsk,62.92,34.47,44.17,91,9.6,100
Leh,34.17,77.58,50.5,31,1.99,0
Davila,18.47,120.58,87.8,66,2.24,20
Barbosa Ferraz,-24.03,-52.01,75.2,57,6.93,5
Playas,-2.63,-80.38,69.35,87,13.67,63
Atar,20.52,-13.05,83.61,50,3.02,100
Gamba,-2.65,10.0,72.45,83,4.5,100
Maţāy,28.42,30.78,75.72,48,11.43,0
Karaidel',55.83,56.91,36.73,92,10.25,100
Ponta Delgada,37.73,-25.67,68.0,77,16.11,75
Caravelas,-17.71,-39.25,72.7,89,6.78,10
Mount Isa,-20.73,139.5,96.8,26,12.75,7
Shitanjing,39.23,106.34,60.42,56,6.69,55
Teknāf,20.86,92.31,82.0,87,16.98,100
Atherton,53.52,-2.49,48.27,88,1.99,2
Sukumo,32.93,132.73,76.1,51,5.03,0
Hukuntsi,-24.0,21.75,57.61,33,9.01,0
Vigrestad,58.57,5.7,49.69,99,3.27,100
São Félix do Xingu,-6.64,-51.99,75.43,82,2.68,82
Samagaltay,50.6,95.0,52.27,47,2.8,0
Nouadhibou,20.93,-17.03,77.0,78,9.17,33
Junín,-34.58,-60.94,46.99,59,3.91,0
Santa Isabel Rio Negro,-0.41,-65.02,79.95,58,2.21,89
Bend,44.06,-121.32,63.46,32,0.94,1
Lompoc,34.64,-120.46,60.06,100,8.05,90
College,64.86,-147.8,48.31,53,1.77,75
Kasempa,-13.46,25.83,63.41,40,6.51,0
San Juan,-31.54,-68.54,59.18,30,7.29,0
Los Llanos de Aridane,28.66,-17.92,72.55,78,8.05,40
Lodja,-3.48,23.43,69.85,95,1.23,100
Lang Son,21.83,106.73,80.64,80,1.74,90
Puerto Maldonado,-12.6,-69.18,74.71,90,0.25,81
Kaeo,-35.1,173.78,62.01,68,3.0,48
Zyryanka,65.75,150.85,42.89,61,6.15,0
Sisimiut,66.94,-53.67,32.36,95,5.55,100
Nassau,40.75,-73.58,55.24,53,4.7,1
Shirak,40.84,43.92,48.2,76,7.09,12
Opuwo,-18.06,13.84,61.27,31,4.07,0
Kodinsk,58.69,99.18,48.36,71,2.33,0
Nantucket,41.28,-70.1,54.25,46,12.75,1
Port Hedland,-20.32,118.57,78.8,9,21.92,0
Mackay,-21.15,149.2,80.08,69,12.75,77
Havøysund,71.0,24.66,42.8,81,17.22,75
Saint-François,46.42,3.91,62.33,88,3.29,96
Marovoay,-16.1,46.63,69.8,68,6.93,20
Lüderitz,-26.65,15.16,57.07,66,24.27,14
Vysoke,50.38,29.52,42.13,100,2.24,13
Inírida,3.87,-67.92,74.19,93,4.74,20
Velingrad,42.03,24.0,43.72,41,1.01,0
Sarangani,5.4,125.46,84.79,66,5.06,47
Boali,4.8,18.13,75.2,88,2.46,20
Sawtell,-30.38,153.1,81.23,65,18.34,2
Ibicuí,-14.84,-39.99,65.08,96,2.84,10
Puerto Madryn,-42.77,-65.04,45.03,59,6.58,0
Pacifica,37.61,-122.49,62.92,72,21.92,20
Smidovich,48.6,133.82,58.03,65,3.89,21
Akropong,5.97,-0.09,75.2,94,14.99,75
Platonovka,52.71,41.95,42.62,82,8.08,100
Beringovskiy,63.05,179.32,43.48,69,21.88,95
Bilma,18.69,12.92,85.6,27,3.96,0
Semnan,35.57,53.4,65.91,47,7.52,0
Kiboga,0.92,31.77,62.38,97,2.08,100
Kamenka,51.32,42.77,39.99,75,7.58,69
Cuauhtémoc,28.42,-106.87,61.0,70,4.0,2
Bafoulabé,13.81,-10.83,72.16,93,8.25,100
Amnat Charoen,15.86,104.63,82.99,78,2.59,99
Lumberton,34.62,-79.01,60.53,72,4.7,1
Aleksandrov Gay,50.15,48.57,45.03,67,11.7,1
Tigil',57.8,158.67,50.94,52,9.86,6
Chlum u Třeboně,48.96,14.93,47.7,79,6.26,0
Codrington,-38.27,141.97,59.4,65,18.88,0
Balkhash,46.84,74.98,55.4,66,6.71,9
Aden,12.78,45.04,88.07,66,2.46,100
Big Rapids,43.7,-85.48,49.5,81,8.57,1
Nsanje,-16.92,35.26,71.71,71,2.66,0
Ihosy,-22.4,46.12,55.8,88,4.65,35
Baykit,61.67,96.37,43.75,81,2.53,54
Bonavista,48.65,-53.11,46.04,72,8.01,51
Rūdbār,30.15,62.6,61.36,30,8.84,0
Tutóia,-2.76,-42.27,79.36,79,15.84,0
Stephenville,32.22,-98.2,68.56,64,4.7,1
Laas,46.62,10.7,57.2,100,4.7,75
Broome,42.25,-75.83,41.23,49,5.82,1
Chernyshevskiy,63.01,112.47,46.78,80,3.53,67
Kloulklubed,7.04,134.26,80.6,88,8.05,90
Meadow Lake,34.8,-106.54,67.59,20,6.93,20
Kenai,60.55,-151.26,53.38,58,6.93,40
Smithers,54.78,-127.17,48.2,100,2.24,90
El Cobre,20.05,-75.95,84.2,70,2.24,20
Port-Gentil,-0.72,8.78,75.72,86,13.33,100
Sinnamary,5.38,-52.95,80.1,85,8.95,0
Dicabisagan,17.08,122.42,87.31,63,6.17,3
Monrovia,6.3,-10.8,76.91,87,7.83,100
Bilibino,68.05,166.44,38.64,71,4.03,15
Alta Floresta,-9.88,-56.09,71.67,93,2.84,50
Varberg,57.11,12.25,57.0,91,10.0,97
Antalaha,-14.9,50.28,66.63,88,6.91,3
Lapua,62.97,23.01,43.36,87,3.0,50
Zhangye,38.93,100.45,61.68,68,4.18,100
Torbay,47.67,-52.73,39.69,86,6.93,40
Storsteinnes,69.24,19.23,42.21,81,20.8,99
Nastola,60.95,25.93,49.69,81,11.41,80
Dabakala,8.37,-4.43,70.63,95,5.17,57
Diu,20.71,70.98,79.72,85,5.99,100
Ruska Poliana,49.42,31.92,47.16,75,2.93,33
Pyinmana,19.73,96.22,78.3,91,9.4,100
Bay Roberts,47.6,-53.26,40.6,10,2.8,100
Miami,25.77,-80.19,83.66,74,3.36,90
Piney Green,34.72,-77.32,60.15,67,11.41,1
Hirara,24.8,125.28,82.08,88,12.75,75
Korla,41.76,86.15,63.88,39,6.69,0
Neuquén,-38.95,-68.06,55.78,24,6.93,100
Acajutla,13.59,-89.83,73.99,95,3.83,100
Chara,56.91,118.26,48.58,73,2.8,100
Karratha,-20.74,116.85,79.7,17,18.39,0
Loja,-3.99,-79.2,54.66,92,4.05,86
Marolambo,-20.05,48.12,55.9,89,2.13,14
Coquimbo,-29.95,-71.34,51.8,87,5.82,3
Gunjur,13.2,-16.73,75.2,100,4.0,40
Ketchikan,55.34,-131.65,52.52,100,5.82,90
Tilichiki,60.47,166.1,38.05,78,7.54,99
Câmara de Lobos,32.63,-16.97,66.27,73,4.7,40
Bad Doberan,54.11,11.9,44.51,100,2.24,0
Enid,36.4,-97.88,64.42,72,4.7,1
Sychëvka,55.83,34.27,42.31,90,10.36,83
Novoagansk,61.94,76.66,53.49,77,16.08,34
Champerico,14.3,-91.92,65.03,96,3.51,100
Artigas,-30.4,-56.47,45.23,70,6.11,0
Balkanabat,39.51,54.37,63.68,47,2.68,23
Ancud,-41.87,-73.82,46.99,35,1.01,96
Yumen,40.28,97.2,56.1,50,7.36,100
Okato,-39.2,173.88,56.46,73,7.0,0
Amahai,-3.33,128.92,84.0,70,3.13,4
Santa Cruz de la Sierra,-17.8,-63.17,75.2,53,6.93,75
Jumla,29.27,82.18,64.81,58,2.39,0
Tabou,4.42,-7.35,75.52,89,10.67,99
Buala,-8.14,159.59,84.83,73,5.53,52
High Point,35.96,-80.01,55.22,66,11.41,20
Krasnokamensk,50.1,118.04,50.56,70,3.8,100
Husavik,66.04,-17.34,35.6,93,5.82,90
Laguna,38.42,-121.42,81.07,41,6.64,1
Necochea,-38.55,-58.74,46.99,66,11.01,73
Winslow,35.02,-110.7,82.4,19,5.82,1
Morant Bay,17.88,-76.41,81.0,79,5.82,20
Batagay-Alyta,67.8,130.41,49.17,49,1.21,0
Chumikan,54.72,135.31,55.85,60,2.73,0
Amalāpuram,16.58,82.02,80.6,88,8.05,90
Mahenge,-8.68,36.72,59.25,98,2.1,24
Olinda,-8.01,-34.86,78.8,74,9.17,40
Rocha,-34.48,-54.33,40.95,82,5.01,4
Pareora,-44.49,171.21,55.99,94,3.0,0
Pangody,65.85,74.49,49.86,87,18.99,100
Saint George,37.1,-113.58,89.29,14,9.17,1
Luba,3.46,8.55,75.2,100,9.17,20
Dakar,14.69,-17.44,78.8,88,3.36,20
Charters Towers,-20.1,146.27,87.89,35,13.15,0
Sept-Îles,50.2,-66.38,30.2,92,3.36,5
San Jose,37.34,-121.89,76.28,44,12.75,75
Zhezkazgan,47.8,67.71,42.8,70,8.95,90
